n	ṅ
sangāhabalaṃ	saṅgāhabalaṃ
tenupankamissāmāti	tenupaṅkamissāmāti
nangulīhi	naṅgulīhi
navahangehi	navahaṅgehi
pāṭikankhanti	pāṭikaṅkhanti
angantveva	aṅgantveva
imināpangena	imināpaṅgena
sankhārātissa	saṅkhārātissa
bojjhangātissa	bojjhaṅgātissa
sankhasaddotveva	saṅkhasaddotveva
sangharakkhitosīti	saṅgharakkhitosīti
aṭṭhangikamāhuposathaṃ	aṭṭhaṅgikamāhuposathaṃ
cankīpi	caṅkīpi
sangāti	saṅgāti
langīti	laṅgīti
anganti	aṅganti
pankoti	paṅkoti
kankāpi	kaṅkāpi
sangoti	saṅgoti
tadingha	tadiṅgha
angavāto	aṅgavāto
pāmango	pāmaṅgo
dūtangā	dūtaṅgā
angahīno	aṅgahīno
sankhāpi	saṅkhāpi
kankhāhu	kaṅkhāhu
sanghoti	saṅghoti
inghayyā	iṅghayyā
sanghepi	saṅghepi
inghāyyā	iṅghāyyā
inghāyya	iṅghāyya
sanghañhi	saṅghañhi
sanghopi	saṅghopi
ekangampi	ekaṅgampi
sanghova	saṅghova
sanghañca	saṅghañca
sankhampi	saṅkhampi
ankeneva	aṅkeneva
sankhāti	saṅkhāti
susangītā	susaṅgītā
angānipi	aṅgānipi
kinkāraṇā	kiṅkāraṇā
sangamimaṃ	saṅgamimaṃ
bhinkova	bhiṅkova
sangahoti	saṅgahoti
tankāraṇā	taṅkāraṇā
sanghādi	saṅghādi
kāmapanko	kāmapaṅko
sattango	sattaṅgo
singālopi	siṅgālopi
lingatopi	liṅgatopi
vangīsāti	vaṅgīsāti
sāngaṇova	sāṅgaṇova
sankhāyekaṃ	saṅkhāyekaṃ
tīṇangāni	tīṇaṅgāni
tīhangehi	tīhaṅgehi
inghāvuso	iṅghāvuso
singāloti	siṅgāloti
sankārampi	saṅkārampi
angaṇanti	aṅgaṇanti
vangisoti	vaṅgisoti
sankārañca	saṅkārañca
sanketampi	saṅketampi
dasangena	dasaṅgena
lingenapi	liṅgenapi
bhanganti	bhaṅganti
katangiko	kataṅgiko
pingiyāti	piṅgiyāti
ekacankame	ekacaṅkame
sanghagaru	saṅghagaru
hingujatuṃ	hiṅgujatuṃ
dussangahā	dussaṅgahā
pankadharī	paṅkadharī
pankadanto	paṅkadanto
sangātīto	saṅgātīto
sanketañca	saṅketañca
bhedāsankī	bhedāsaṅkī
nāngulīhi	nāṅgulīhi
cankamañca	caṅkamañca
devasangho	devasaṅgho
sankhyampi	saṅkhyampi
ucchangañca	ucchaṅgañca
sankhāreyeva	saṅkhāreyeva
pabhangūti	pabhaṅgūti
kankhāmīti	kaṅkhāmīti
pallankampi	pallaṅkampi
sāsankanti	sāsaṅkanti
anangaṇova	anaṅgaṇova
nelanganti	nelaṅganti
vibhangañca	vibhaṅgañca
kankhasīti	kaṅkhasīti
langhakāpi	laṅghakāpi
sankhatoti	saṅkhatoti
alankarāti	alaṅkarāti
sanghāṭipi	saṅghāṭipi
alankāroti	alaṅkāroti
sankhārāpi	saṅkhārāpi
pabhanguñca	pabhaṅguñca
dvīhangehi	dvīhaṅgehi
ekangametaṃ	ekaṅgametaṃ
sankhakulaṃ	saṅkhakulaṃ
sankhārāti	saṅkhārāti
inghāyasmā	iṅghāyasmā
sanghāṭīti	saṅghāṭīti
cūḷasangāma	cūḷasaṅgāma
sangītinti	saṅgītinti
sanghenāti	saṅghenāti
sanghappatto	saṅghappatto
sangāyantehi	saṅgāyantehi
navasangahā	navasaṅgahā
sanghikañca	saṅghikañca
mahāsangāma	mahāsaṅgāma
bhangodakaṃ	bhaṅgodakaṃ
pankapalipā	paṅkapalipā
sanghaphāsu	saṅghaphāsu
sakesangesu	sakesaṅgesu
kankaṇaṃva	kaṅkaṇaṃva
kāmapankena	kāmapaṅkena
pankamhiva	paṅkamhiva
ucchangepi	ucchaṅgepi
sangahavāra	saṅgahavāra
angajātañca	aṅgajātañca
pāṭankinti	pāṭaṅkinti
cūḷasangāme	cūḷasaṅgāme
asanketena	asaṅketena
sanghāṭimpi	saṅghāṭimpi
chahangehi	chahaṅgehi
sutasankāya	sutasaṅkāya
angarāgañca	aṅgarāgañca
vibhangāni	vibhaṅgāni
sanghāṭiñca	saṅghāṭiñca
sankamaniyā	saṅkamaniyā
singālapitā	siṅgālapitā
sangahavāro	saṅgahavāro
lingapucchā	liṅgapucchā
janghabalaṃ	jaṅghabalaṃ
uttamangajo	uttamaṅgajo
vasangatoti	vasaṅgatoti
ākankhasīti	ākaṅkhasīti
evangottoti	evaṅgottoti
catūhangehi	catūhaṅgehi
kālankatoti	kālaṅkatoti
kālankatāti	kālaṅkatāti
vankakenapi	vaṅkakenapi
tadangenāti	tadaṅgenāti
asankhatañca	asaṅkhatañca
cankamatipi	caṅkamatipi
ādiccangena	ādiccaṅgena
evangottāti	evaṅgottāti
singālakāti	siṅgālakāti
dasahangehi	dasahaṅgehi
kulangāroti	kulaṅgāroti
sangāmesīti	saṅgāmesīti
asankhatoti	asaṅkhatoti
kālankatāpi	kālaṅkatāpi
pingiyānīti	piṅgiyānīti
bojjhangāti	bojjhaṅgāti
kālankatañca	kālaṅkatañca
gangāpeyyālī	gaṅgāpeyyālī
sayankatañca	sayaṅkatañca
abhisangīti	abhisaṅgīti
sankulikāti	saṅkulikāti
sangahitoti	saṅgahitoti
kāmangamoti	kāmaṅgamoti
sangahitāti	saṅgahitāti
parankatañca	paraṅkatañca
accankusova	accaṅkusova
kalingaroti	kaliṅgaroti
sabbasangaho	sabbasaṅgaho
satalingassa	sataliṅgassa
jālasankhāto	jālasaṅkhāto
devasanghena	devasaṅghena
nangalamahaṃ	naṅgalamahaṃ
katihangehi	katihaṅgehi
sanghādhīnā	saṅghādhīnā
sumangalāti	sumaṅgalāti
mahāsangāmaṃ	mahāsaṅgāmaṃ
ingālakuyāva	iṅgālakuyāva
sankamanīyaṃ	saṅkamanīyaṃ
sankārapuñjā	saṅkārapuñjā
mānasankhaye	mānasaṅkhaye
dhutangavaggo	dhutaṅgavaggo
gangāsotova	gaṅgāsotova
sanghabhinno	saṅghabhinno
ankusamādāya	aṅkusamādāya
attādānaanga	attādānaaṅga
sangatībhāvā	saṅgatībhāvā
sanghāṭivāsī	saṅghāṭivāsī
sanghikaññeva	saṅghikaññeva
sangāmetīti	saṅgāmetīti
āsankathāti	āsaṅkathāti
sankheyyakāro	saṅkheyyakāro
angulicchinno	aṅgulicchinno
bojjhangāni	bojjhaṅgāni
sangamaticca	saṅgamaticca
suttasangaho	suttasaṅgaho
udakasangahe	udakasaṅgahe
ankuravatthu	aṅkuravatthu
nangalīsāti	naṅgalīsāti
sanghādhīno	saṅghādhīno
sattangulaṃ	sattaṅgulaṃ
sanghasuṭṭhu	saṅghasuṭṭhu
cūḷasangāmaṃ	cūḷasaṅgāmaṃ
cankamatīti	caṅkamatīti
mātangaputto	mātaṅgaputto
aṭṭhahangehi	aṭṭhahaṅgehi
sattahangehi	sattahaṅgehi
caṭṭhangikaṃ	caṭṭhaṅgikaṃ
appabhanguñca	appabhaṅguñca
singālakaṃyeva	siṅgālakaṃyeva
sankhatametaṃ	saṅkhatametaṃ
asayankārañca	asayaṅkārañca
pāṭikankhoti	pāṭikaṅkhoti
sanghagatampi	saṅghagatampi
sanghāṭikampi	saṅghāṭikampi
singhāṭakoti	siṅghāṭakoti
kankhanīyeva	kaṅkhanīyeva
tankhaṇikāyapi	taṅkhaṇikāyapi
sangāmetunti	saṅgāmetunti
atthangamoti	atthaṅgamoti
ākankheyyāti	ākaṅkheyyāti
pañcahangehi	pañcahaṅgehi
nikkankhvāhaṃ	nikkaṅkhvāhaṃ
pañcangikañca	pañcaṅgikañca
aṭṭhangikañca	aṭṭhaṅgikañca
appabhangūti	appabhaṅgūti
cankamantopi	caṅkamantopi
ākankheyyuñce	ākaṅkheyyuñce
cankamantova	caṅkamantova
sankhāresupi	saṅkhāresupi
sāngaṇānaṃyeva	sāṅgaṇānaṃyeva
ekangahīnāti	ekaṅgahīnāti
cangavāranti	caṅgavāranti
ucchangehipi	ucchaṅgehipi
aparankārañca	aparaṅkārañca
sankhārānañce	saṅkhārānañce
sanghikenāti	saṅghikenāti
pubbangamāti	pubbaṅgamāti
upasankamīti	upasaṅkamīti
sangaṇhāsīti	saṅgaṇhāsīti
sanghassāhaṃ	saṅghassāhaṃ
pāṭikankhāti	pāṭikaṅkhāti
langhakānampi	laṅghakānampi
angulimāloti	aṅgulimāloti
atthangamañca	atthaṅgamañca
singhāṭakepi	siṅghāṭakepi
sumangalamātā	sumaṅgalamātā
nidānasangaho	nidānasaṅgaho
vatthusangaho	vatthusaṅgaho
singālapitiko	siṅgālapitiko
sanghāṭikaṇṇe	saṅghāṭikaṇṇe
sankaccikāti	saṅkaccikāti
vinayasangīti	vinayasaṅgīti
titthiyalinge	titthiyaliṅge
pānīyasankhaṃ	pānīyasaṅkhaṃ
cankamantīti	caṅkamantīti
sangharājīti	saṅgharājīti
āvāsikalingaṃ	āvāsikaliṅgaṃ
pārangamanīyā	pāraṅgamanīyā
sangītinidāna	saṅgītinidāna
suttavibhango	suttavibhaṅgo
sangahitavāro	saṅgahitavāro
sankiccathero	saṅkiccathero
asankhatanti	asaṅkhatanti
byasanangato	byasanaṅgato
rajanuḷunkaṃ	rajanuḷuṅkaṃ
sangahitavāra	saṅgahitavāra
buddhasanghaṃ	buddhasaṅghaṃ
āpattisangaho	āpattisaṅgaho
sarabhangoti	sarabhaṅgoti
dūteyyangāni	dūteyyaṅgāni
dhutangavagga	dhutaṅgavagga
sakyapungavaṃ	sakyapuṅgavaṃ
paṭisankhāpi	paṭisaṅkhāpi
angulicchinnaṃ	aṅgulicchinnaṃ
sanghātanikaṃ	saṅghātanikaṃ
parisankitosi	parisaṅkitosi
anangaṇānaṃyeva	anaṅgaṇānaṃyeva
katiangikanti	katiaṅgikanti
asankaccikāti	asaṅkaccikāti
sankhārānaṃyeva	saṅkhārānaṃyeva
sankārakūṭeva	saṅkārakūṭeva
kālankiriyāti	kālaṅkiriyāti
ākankhamānoti	ākaṅkhamānoti
ākankhamānova	ākaṅkhamānova
nanguṭṭhenapi	naṅguṭṭhenapi
sanghabhedoti	saṅghabhedoti
cingulakenapi	ciṅgulakenapi
vankaghastova	vaṅkaghastova
sankhārānāhaṃ	saṅkhārānāhaṃ
pañcangikanti	pañcaṅgikanti
sankiliṭṭhañca	saṅkiliṭṭhañca
mahānāmangena	mahānāmaṅgena
alankarothāti	alaṅkarothāti
cupasankamitā	cupasaṅkamitā
nīlālankārāti	nīlālaṅkārāti
tassangaṇassa	tassaṅgaṇassa
āṇisanghāṭova	āṇisaṅghāṭova
sankhittenapi	saṅkhittenapi
pangacīrenapi	paṅgacīrenapi
sāmaññanganti	sāmaññaṅganti
rangamajjhepi	raṅgamajjhepi
sankhasaddoti	saṅkhasaddoti
sangaṇhantīti	saṅgaṇhantīti
cankamantanti	caṅkamantanti
appātankatañca	appātaṅkatañca
vibhangakovida	vibhaṅgakovida
mangalatthāya	maṅgalatthāya
vibhangakovido	vibhaṅgakovido
sangamupaccagā	saṅgamupaccagā
sankhānasippaṃ	saṅkhānasippaṃ
sankhāraparamā	saṅkhāraparamā
angārakāsuṃva	aṅgārakāsuṃva
kālankatesupi	kālaṅkatesupi
cankameyyanti	caṅkameyyanti
sanghepavāraṇā	saṅghepavāraṇā
āgantukalingaṃ	āgantukaliṅgaṃ
pacchākankhati	pacchākaṅkhati
puggalasangaho	puggalasaṅgaho
sabbālankāraṃ	sabbālaṅkāraṃ
sangāmasīseva	saṅgāmasīseva
hingusipāṭikaṃ	hiṅgusipāṭikaṃ
vipattisangaho	vipattisaṅgaho
sankasāyantiyo	saṅkasāyantiyo
gāthāsangaṇika	gāthāsaṅgaṇika
uttaribhangāni	uttaribhaṅgāni
parisankasīti	parisaṅkasīti
sanghalābhassa	saṅghalābhassa
sankappayantāya	saṅkappayantāya
pabbajitalinge	pabbajitaliṅge
pubbangamanti	pubbaṅgamanti
dukkhasankhayo	dukkhasaṅkhayo
jangheyyakampi	jaṅgheyyakampi
sangheuposatho	saṅgheuposatho
khandhasangaho	khandhasaṅgaho
lingasaṃvāsakā	liṅgasaṃvāsakā
ankusaggahoti	aṅkusaggahoti
sanghagarukena	saṅghagarukena
upaḍḍhasunkena	upaḍḍhasuṅkena
sāvakasanghoti	sāvakasaṅghoti
odātālankārāti	odātālaṅkārāti
vacīsankhāroti	vacīsaṅkhāroti
sangāmeyyāmāti	saṅgāmeyyāmāti
maggabojjhangaṃ	maggabojjhaṅgaṃ
sanghamajjheti	saṅghamajjheti
mudingasaddampi	mudiṅgasaddampi
sankāraggitveva	saṅkāraggitveva
mātangaraññeva	mātaṅgaraññeva
sangahetabboti	saṅgahetabboti
sankhalikāhīti	saṅkhalikāhīti
upasankamitāti	upasaṅkamitāti
susangahitāssa	susaṅgahitāssa
asankiliṭṭhāti	asaṅkiliṭṭhāti
uttaribhangampi	uttaribhaṅgampi
tunganāsikanti	tuṅganāsikanti
asankiliṭṭhoti	asaṅkiliṭṭhoti
yadākankhasīti	yadākaṅkhasīti
pāṭikankhinoti	pāṭikaṅkhinoti
sanghādisesoti	saṅghādisesoti
eṇeyyajanghoti	eṇeyyajaṅghoti
sunkadāyakaṃva	suṅkadāyakaṃva
sanghamajjhampi	saṅghamajjhampi
vinayasangītiyā	vinayasaṅgītiyā
sangāmessatīti	saṅgāmessatīti
bojjhangabalāni	bojjhaṅgabalāni
pavāraṇāsangaha	pavāraṇāsaṅgaha
vassikasanketaṃ	vassikasaṅketaṃ
pavāraṇāsangahe	pavāraṇāsaṅgahe
nānājanasangaho	nānājanasaṅgaho
vibhangasamaṇaṃ	vibhaṅgasamaṇaṃ
sankiliṭṭhamanā	saṅkiliṭṭhamanā
langhetumicchasi	laṅghetumicchasi
sangāyissāmāti	saṅgāyissāmāti
akathankathīti	akathaṅkathīti
sangāmagataṃva	saṅgāmagataṃva
pavāraṇāsangaho	pavāraṇāsaṅgaho
sanghaṭṭamānāni	saṅghaṭṭamānāni
vācābhikankhāmi	vācābhikaṅkhāmi
sanghabhattampi	saṅghabhattampi
sanghamajjhepi	saṅghamajjhepi
upasankamatūti	upasaṅkamatūti
mangalamuttamaṃ	maṅgalamuttamaṃ
gāthāsangaṇikaṃ	gāthāsaṅgaṇikaṃ
kankhitamaññāsi	kaṅkhitamaññāsi
imehaṭṭhangehi	imehaṭṭhaṅgehi
sanghāṭikaṇṇena	saṅghāṭikaṇṇena
paṭisankhayantaṃ	paṭisaṅkhayantaṃ
sangāyeyyāmāti	saṅgāyeyyāmāti
sanghasobhanāti	saṅghasobhanāti
upasankamantūti	upasaṅkamantūti
uddhangāmininti	uddhaṅgāmininti
sanghasāmaggīti	saṅghasāmaggīti
anucankamantepi	anucaṅkamantepi
panābhikankhati	panābhikaṅkhati
sangāmāvacaroti	saṅgāmāvacaroti
bhikkhusanghoti	bhikkhusaṅghoti
sankhittamatthaṃ	saṅkhittamatthaṃ
angulimuddikāti	aṅgulimuddikāti
sammāsankappoti	sammāsaṅkappoti
cittasankappoti	cittasaṅkappoti
bhikkhusanghañca	bhikkhusaṅghañca
sammāsankappañce	sammāsaṅkappañce
sangāyissantīti	saṅgāyissantīti
bhikkhusangheti	bhikkhusaṅgheti
asankiliṭṭhanti	asaṅkiliṭṭhanti
sankhamuṇḍikampi	saṅkhamuṇḍikampi
sankilissantīti	saṅkilissantīti
upasankamitunti	upasaṅkamitunti
agadangārassapi	agadaṅgārassapi
vibhangapaṭipadā	vibhaṅgapaṭipadā
kārakasanghanti	kārakasaṅghanti
upasankamitvāti	upasaṅkamitvāti
sankiliṭṭhābhāti	saṅkiliṭṭhābhāti
singālakamātāti	siṅgālakamātāti
sankhānapañcamaṃ	saṅkhānapañcamaṃ
dhammasangahoti	dhammasaṅgahoti
yadābhikankhati	yadābhikaṅkhati
angapaccanganti	aṅgapaccaṅganti
sanghādisesanti	saṅghādisesanti
cābhisankharoti	cābhisaṅkharoti
sangāmessantīti	saṅgāmessantīti
asankhatagāmiñca	asaṅkhatagāmiñca
cittasankhāroti	cittasaṅkhāroti
yenakāmangamoti	yenakāmaṅgamoti
ākankhamānenāti	ākaṅkhamānenāti
upasankamantīti	upasaṅkamantīti
bhikkhusanghopi	bhikkhusaṅghopi
asankhyeyyānīti	asaṅkhyeyyānīti
alankammaniyeti	alaṅkammaniyeti
aparisankitanti	aparisaṅkitanti
dvangulakappoti	dvaṅgulakappoti
sanghādisesagāmī	saṅghādisesagāmī
tilasanguḷikāti	tilasaṅguḷikāti
ariyaṭṭhangikaṃ	ariyaṭṭhaṅgikaṃ
pavāraṇāsangahaṃ	pavāraṇāsaṅgahaṃ
ekangadassinoti	ekaṅgadassinoti
sankāradhānasmiṃ	saṅkāradhānasmiṃ
sankilissamānāse	saṅkilissamānāse
asanghaṭṭentena	asaṅghaṭṭentena
angārakāsusadisā	aṅgārakāsusadisā
cankamissantīti	caṅkamissantīti
sanghabhedakāpi	saṅghabhedakāpi
sanghabhedakathā	saṅghabhedakathā
vipattisangahena	vipattisaṅgahena
sankhārasantatiṃ	saṅkhārasantatiṃ
sankaccudakasāṭi	saṅkaccudakasāṭi
bojjhangabhāvanā	bojjhaṅgabhāvanā
ñātisanghasatāni	ñātisaṅghasatāni
cirasankiliṭṭhaṃ	cirasaṅkiliṭṭhaṃ
lingapātubhāvena	liṅgapātubhāvena
sanghādisesenāti	saṅghādisesenāti
mahāmigasanghoti	mahāmigasaṅghoti
idhūpasankantāti	idhūpasaṅkantāti
sanghāṭikattameva	saṅghāṭikattameva
tenupasankantoti	tenupasaṅkantoti
padhāniyangānīti	padhāniyaṅgānīti
tadanganibbutoti	tadaṅganibbutoti
bhikkhusanghaṃyeva	bhikkhusaṅghaṃyeva
micchāsankappoti	micchāsaṅkappoti
sankhāragatametaṃ	saṅkhāragatametaṃ
purisakhaḷunkāti	purisakhaḷuṅkāti
biḷangadutiyanti	biḷaṅgadutiyanti
candanangalikāti	candanaṅgalikāti
upasankameyyanti	upasaṅkameyyanti
bilangadutiyanti	bilaṅgadutiyanti
singīnikkhassāpi	siṅgīnikkhassāpi
appaṭisankhāyāti	appaṭisaṅkhāyāti
asitabyābhangiñca	asitabyābhaṅgiñca
aṭṭhangikassetaṃ	aṭṭhaṅgikassetaṃ
sanghupaṭṭhākoti	saṅghupaṭṭhākoti
bhikkhusanghanti	bhikkhusaṅghanti
upasankamanāyāti	upasaṅkamanāyāti
pāpasampavankoti	pāpasampavaṅkoti
sangharakkhitāti	saṅgharakkhitāti
sangharakkhitoti	saṅgharakkhitoti
tadatthangatanti	tadatthaṅgatanti
bilangathālikampi	bilaṅgathālikampi
aḍḍhapallankanti	aḍḍhapallaṅkanti
sanghanānākaraṇaṃ	saṅghanānākaraṇaṃ
aṭṭhangulaparamaṃ	aṭṭhaṅgulaparamaṃ
kankhamabhijānāmi	kaṅkhamabhijānāmi
adhikaraṇasangaho	adhikaraṇasaṅgaho
vitthārasankhepaṃ	vitthārasaṅkhepaṃ
avebhangiyavatthu	avebhaṅgiyavatthu
sanghabhedakavīso	saṅghabhedakavīso
singhāṭakabaddhaṃ	siṅghāṭakabaddhaṃ
idhūpasankamantā	idhūpasaṅkamantā
ahankārapasutāyaṃ	ahaṅkārapasutāyaṃ
odātamanasankappo	odātamanasaṅkappo
maggānaṭṭhangiko	maggānaṭṭhaṅgiko
sanghavavatthānaṃ	saṅghavavatthānaṃ
kusalankusaggaho	kusalaṅkusaggaho
kulankapādakanti	kulaṅkapādakanti
cankamanasālanti	caṅkamanasālanti
samuṭṭhānasangaho	samuṭṭhānasaṅgaho
ogayhaṭṭhangikaṃ	ogayhaṭṭhaṅgikaṃ
gatamāyusankhayaṃ	gatamāyusaṅkhayaṃ
ākankhamānachakka	ākaṅkhamānachakka
sankhatamaddhuvaṃ	saṅkhatamaddhuvaṃ
sanghamappameyyaṃ	saṅghamappameyyaṃ
sankhārāniccatañca	saṅkhārāniccatañca
sayananguṭṭhakena	sayanaṅguṭṭhakena
angapaccangānanti	aṅgapaccaṅgānanti
tadanganibbānanti	tadaṅganibbānanti
upasankamissatīti	upasaṅkamissatīti
lomasakangiyāsubho	lomasakaṅgiyāsubho
sankhāranirodhoti	saṅkhāranirodhoti
sangahavatthūnīti	saṅgahavatthūnīti
upasankamissāmīti	upasaṅkamissāmīti
sotāpattiyanganti	sotāpattiyaṅganti
asammataatthangatū	asammataatthaṅgatū
abhisankhareyyāti	abhisaṅkhareyyāti
bhikkhusanghenāti	bhikkhusaṅghenāti
nālankammaniyanti	nālaṅkammaniyanti
padhānasankhārāti	padhānasaṅkhārāti
theyyasankhātanti	theyyasaṅkhātanti
sankhāranirodhañca	saṅkhāranirodhañca
upasankamissāmāti	upasaṅkamissāmāti
sanghādisesassāti	saṅghādisesassāti
sanghasāmaggiyāti	saṅghasāmaggiyāti
asuddhaparisankito	asuddhaparisaṅkito
pavāraṇāsangahassa	pavāraṇāsaṅgahassa
aṭṭhikankalakuṭike	aṭṭhikaṅkalakuṭike
migasanghanisevitā	migasaṅghanisevitā
sanghabhedakavaggo	saṅghabhedakavaggo
sanghasāmaggīkathā	saṅghasāmaggīkathā
sangahitattabhāvo	saṅgahitattabhāvo
sanghabhedakavagga	saṅghabhedakavagga
upasankamitabboti	upasaṅkamitabboti
sandhisinghāṭakesu	sandhisiṅghāṭakesu
singīnikkhasavaṇṇo	siṅgīnikkhasavaṇṇo
piṭṭhasanghāṭameva	piṭṭhasaṅghāṭameva
sankiccattheragāthā	saṅkiccattheragāthā
sukhavedanāsamangī	sukhavedanāsamaṅgī
ākankhamānachakkaṃ	ākaṅkhamānachakkaṃ
sanghasāmaggiyoti	saṅghasāmaggiyoti
ākankhamānacatukka	ākaṅkhamānacatukka
sankhārapaccayāti	saṅkhārapaccayāti
paṭisankhānabalañca	paṭisaṅkhānabalañca
sankilesadhammaṃyeva	saṅkilesadhammaṃyeva
sankhārasamudayañca	saṅkhārasamudayañca
singālāṭānāṭiyakaṃ	siṅgālāṭānāṭiyakaṃ
satisambojjhangoti	satisambojjhaṅgoti
sangaṇikārāmassāti	saṅgaṇikārāmassāti
aparājitasanghanti	aparājitasaṅghanti
sangaṇikārāmadevatā	saṅgaṇikārāmadevatā
sotāpattiyangānīti	sotāpattiyaṅgānīti
ovādūpasankamanañca	ovādūpasaṅkamanañca
abhisankhareyyanti	abhisaṅkhareyyanti
bhikkhusanghassāti	bhikkhusaṅghassāti
angulipabbamattampi	aṅgulipabbamattampi
pītisambojjhangoti	pītisambojjhaṅgoti
tenupasankamantīti	tenupasaṅkamantīti
mudutalunanguliyassa	mudutalunaṅguliyassa
dukkhavedanāsamangī	dukkhavedanāsamaṅgī
itthālankāravaṇṇake	itthālaṅkāravaṇṇake
sangharakkhitatthero	saṅgharakkhitatthero
pakkhasankantesupi	pakkhasaṅkantesupi
kankhārevatasammato	kaṅkhārevatasammato
aṭṭhangamaggadharaṃ	aṭṭhaṅgamaggadharaṃ
ākankhamānacatukkaṃ	ākaṅkhamānacatukkaṃ
